上卦,下卦,卦名,相对路径
乾,乾,乾为天,/lssg/1
乾,兑,天泽履,/lssg/46
乾,离,天火同人,/lssg/55
乾,震,天雷无妄,/lssg/96
乾,巽,天风姤,/lssg/157
乾,坎,天水讼,/lssg/34
乾,艮,天山遁,/lssg/120
乾,坤,天地否,/lssg/52
兑,兑,兑为泽,/lssg/199
兑,乾,泽天夬,/lssg/154
兑,离,泽火革,/lssg/172
兑,震,泽雷随,/lssg/67
兑,巽,泽风大过,/lssg/105
兑,坎,泽水困,/lssg/166
兑,艮,泽山咸,/lssg/114
兑,坤,泽地萃,/lssg/160
离,离,离为火,/lssg/111
离,乾,火天大有,/lssg/58
离,兑,火泽睽,/lssg/139
离,震,火雷噬嗑,/lssg/82
离,巽,火风鼎,/lssg/175
离,坎,火水未济,/lssg/217
离,艮,火山旅,/lssg/193
离,坤,火地晋,/lssg/128
震,震,震为雷,/lssg/178
震,乾,雷天大壮,/lssg/123
震,兑,雷泽归妹,/lssg/187
震,离,雷火丰,/lssg/190
震,巽,雷风恒,/lssg/117
震,坎,雷水解,/lssg/145
震,艮,雷山小过,/lssg/211
震,坤,雷地豫,/lssg/64
巽,巽,巽为风,/lssg/196
巽,乾,风天小畜,/lssg/43
巽,兑,风泽中孚,/lssg/208
巽,离,风火家人,/lssg/136
巽,震,风雷益,/lssg/151
巽,坎,风水涣,/lssg/202
巽,艮,风山渐,/lssg/184
巽,坤,风地观,/lssg/77
坎,坎,坎为水,/lssg/108
坎,乾,水天需,/lssg/31
坎,兑,水泽节,/lssg/205
坎,离,水火既济,/lssg/214
坎,震,水雷屯,/lssg/25
坎,巽,水风井,/lssg/169
坎,艮,水山蹇,/lssg/142
坎,坤,水地比,/lssg/40
艮,艮,艮为山,/lssg/181
艮,乾,山天大畜,/lssg/99
艮,兑,山泽损,/lssg/148
艮,离,山火贲,/lssg/87
艮,震,山雷姬,/lssg/102
艮,巽,山风蛊,/lssg/70
艮,坎,山水蒙,/lssg/28
艮,坤,山地剥,/lssg/90
坤,坤,地为坤,/lssg/21
坤,兑,地泽临,/lssg/73
坤,离,地火明夷,/lssg/131
坤,震,地雷复,/lssg/93
坤,巽,地风升,/lssg/163
坤,坎,地水师,/lssg/37
坤,艮,地山谦,/lssg/61
坤,乾,地天泰,/lssg/49
